Country Name,HDI,Gender Inequality Index,GDP per Capita,Population,Natural Increase Rate,Life Expectancy,Percentage in the Tertiary,Physiological Density,Latitude,Longitude
Iran,0.783,0.429,5643,86000000,1,76.4,42,490,32.427908,53.688046
Iraq,0.674,0.569,4933,45700000,2.3,70.5,21,241,33.223191,43.679291
Ireland,0.955,0.052,98312,5100000,1.2,82,70,70,53.41291,-8.24389
Israel,0.919,0.117,54783,10000000,1.5,83,62,402,31.046051,34.851612
Italy,0.892,0.069,36769,59000000,0.1,83.2,62,201,41.87194,12.56738
Jamaica,0.734,0.346,5112,2900000,0.1,74.3,37,269,18.109581,-77.297508
Japan,0.919,0.045,44528,124000000,-0.3,84.6,61,340,36.204824,138.252924
Jordan,0.729,0.369,4843,11000000,1.6,74,40,375,30.585164,36.238414
Kazakhstan,0.827,0.211,11303,19000000,0.7,73.2,39,6,48.019573,66.923684
Kenya,0.601,0.586,2183,56000000,2.3,66.8,24,175,-0.023559,37.906193
Kiribati,0.606,0.373,1720,130000,1.9,67.3,26,122,-3.370417,-168.734039
Kuwait,0.806,0.192,34700,4600000,1.6,75.4,46,62,29.31166,47.481766
Kyrgyzstan,0.711,0.358,1225,6600000,1.1,70,34,28,41.20438,74.766098
Laos,0.609,0.498,2854,7300000,1.8,66.3,19,220,19.85627,102.495496
Latvia,0.865,0.066,20196,1900000,-0.6,75.3,76,30,56.879635,24.603189
Lebanon,0.805,0.308,8000,6100000,0.6,77.6,45,667,33.854721,35.862285
Lesotho,0.518,0.645,1085,2100000,1.1,54.2,18,68,-29.609988,28.233608
Liberia,0.48,0.663,687,5200000,2.3,64.1,10,96,6.428055,-9.429499
Libya,0.724,0.461,10071,7700000,1.3,72.3,29,5,26.3351,17.228331
Liechtenstein,0.917,0.038,179240,40000,0.1,81.5,56,244,47.166,9.555373
Lithuania,0.862,0.06,20582,2700000,-0.5,74.6,75,43,55.169438,23.881275
Luxembourg,0.955,0.04,121300,660000,0.9,82.1,66,216,49.815273,6.129583
Madagascar,0.521,0.613,495,32000000,2.7,67.5,10,364,-18.766947,46.869107
Malawi,0.483,0.602,658,20000000,2.8,64.6,8,473,-13.254308,34.301525
Malaysia,0.816,0.359,11963,34000000,1.3,75.1,44,94,4.210484,101.975766
Maldives,0.743,0.384,11189,600000,1.5,78.9,40,1720,3.202778,73.22068
Mali,0.434,0.67,995,22000000,3,59.5,8,12,17.570692,-3.996166
Malta,0.878,0.031,28307,520000,0.3,82.1,70,1231,35.937496,14.375416
Marshall Islands,0.631,0.314,4166,60000,1,74.7,25,208,7.131474,171.184478
Mauritania,0.52,0.615,1306,4900000,2.6,64.7,10,17,21.00789,-10.940835
Mauritius,0.804,0.276,11260,1400000,0.6,75.6,68,631,-20.348404,57.552152
Mexico,0.779,0.37,10215,127000000,1,75.1,35,159,23.634501,-102.552784
Micronesia,0.628,0.403,3340,110000,1.4,70.1,23,154,7.425554,150.550812
Moldova,0.756,0.208,3539,2700000,-0.3,72.3,63,109,47.411631,28.369885
Monaco,0.972,0.035,190031,40000,0.3,89.4,88,3623,43.750298,7.412841
Mongolia,0.737,0.446,4243,3400000,1,70,31,2,46.862496,103.846656
Montenegro,0.829,0.132,8476,620000,0,76.9,61,80,42.708678,19.37439
Morocco,0.683,0.434,3454,39000000,1.2,76.2,29,150,31.791702,-7.09262
Mozambique,0.456,0.608,536,33000000,2.7,62.2,10,179,-18.665695,35.529562
Myanmar,0.583,0.511,1473,57000000,0.9,67.1,15,208,21.913965,95.956223
Namibia,0.646,0.597,4991,2600000,1.2,64.1,21,3,-22.95764,18.49041
Nauru,0.719,0.381,12304,11000,0.5,66.5,20,2931,-0.522778,166.931503
Nepal,0.584,0.512,1249,30000000,1,71.1,25,206,28.394857,84.124008
Netherlands,0.944,0.052,61533,17500000,0.3,81.9,76,411,52.132633,5.291266
New Zealand,0.917,0.097,44849,5100000,1,82.3,71,18,-40.900557,174.885971
Nicaragua,0.66,0.463,2172,7000000,1.1,74.4,34,66,12.865416,-85.207229
Niger,0.394,0.748,595,26000000,3.6,61.5,6,57,17.607789,8.081666
Nigeria,0.539,0.64,2229,224000000,2.6,60,10,275,9.081999,8.675277
North Korea,0.707,0.359,1769,25600000,0.8,72.9,30,216,40.339852,127.510093
North Macedonia,0.788,0.122,6739,2100000,0,75.3,66,84,41.608635,21.745275
Norway,0.961,0.045,98288,5700000,0.5,82.9,84,17,60.472024,8.468946
Oman,0.821,0.36,18879,5600000,1.9,77.2,40,28,21.512583,55.923255
Pakistan,0.56,0.555,1754,242000000,2,68.1,12,516,30.375321,69.345116
Palau,0.8,0.347,15656,18000,0.2,73.5,45,108,7.51498,134.58252
Palestine,0.708,0.421,3472,5300000,2.2,74.2,40,863,31.952162,35.233154
Panama,0.815,0.344,14654,4800000,1.3,78.2,51,88,8.537981,-80.782127
Papua New Guinea,0.555,0.552,2676,9600000,2.1,65.3,18,19,-6.314993,143.95555
Paraguay,0.728,0.398,5536,7500000,1.3,73.4,38,27,-23.442503,-58.443832
Peru,0.777,0.405,6824,34000000,0.8,77.2,46,68,-9.189967,-75.015152
Philippines,0.718,0.445,3914,115000000,1.5,71,32,783,12.879721,121.774017
Poland,0.88,0.06,17762,37000000,0,78.2,69,124,51.919438,19.145136
Portugal,0.864,0.055,23277,10200000,-0.1,81.1,68,110,39.399872,-8.224454
Qatar,0.848,0.257,69667,3200000,1.8,80.5,34,254,25.354826,51.183884
Romania,0.831,0.148,13115,19500000,-0.4,75.2,64,92,45.943161,24.96676
Russia,0.861,0.183,11068,143000000,-0.2,72.6,54,9,61.52401,105.318756
Rwanda,0.544,0.565,838,14000000,2.7,69,13,511,-1.940278,29.873888
Saint Kitts and Nevis,0.777,0.204,15060,60000,0.1,74.4,48,230,17.357822,-62.782998
Saint Lucia,0.748,0.284,10250,190000,0.3,76.8,56,306,13.909444,-60.978893
Saint Vincent and the Grenadines,0.723,0.323,7455,110000,0.2,72.6,43,227,12.984305,-61.287228
Samoa,0.721,0.37,4157,200000,0.8,73.6,40,81,-13.759029,-172.104629
San Marino,0.876,0.038,47130,34000,0,83.1,67,446,43.94236,12.457777
Sao Tome and Principe,0.605,0.514,2137,220000,1.7,69.1,25,276,0.18636,6.613081
Saudi Arabia,0.854,0.267,23939,36000000,1.6,75.1,47,16,23.885942,45.079162
Senegal,0.514,0.611,1569,18000000,2.6,66.3,16,74,14.497401,-14.452362
Serbia,0.806,0.126,8517,7000000,-0.2,75.4,62,99,44.016521,21.005859
Seychelles,0.801,0.331,15663,100000,0.6,73.8,62,217,-4.679574,55.491977
Sierra Leone,0.438,0.655,516,8100000,2.6,54.3,7,105,8.460555,-11.779889
Singapore,0.938,0.073,73756,5700000,1.3,83.6,88,8358,1.352083,103.819836
